Date,Country,Month,Year,Temp
1900-01-01,Argentina,1,1900,21.778
1900-01-01,Austria,1,1900,-2.2780000000000005
1900-01-01,Bahrain,1,1900,14.974
1900-01-01,Belarus,1,1900,-6.775
1900-01-01,Belgium,1,1900,2.8680000000000003
1900-01-01,Bulgaria,1,1900,0.8140000000000001
1900-01-01,Czech Republic,1,1900,-1.426
1900-01-01,France,1,1900,7.235
1900-01-01,Hong Kong,1,1900,13.691
1900-01-01,Hungary,1,1900,0.3250000000000002
1900-01-01,Iceland,1,1900,-2.415
1900-01-01,India,1,1900,17.385
1900-01-01,Ireland,1,1900,5.307
1900-01-01,Italy,1,1900,5.402
1900-01-01,Japan,1,1900,-0.9640000000000002
1900-01-01,Kuwait,1,1900,11.672
1900-01-01,Latvia,1,1900,-6.908
1900-01-01,Macedonia,1,1900,1.283
1900-01-01,Philippines,1,1900,24.678
1900-01-01,Poland,1,1900,-3.1819999999999995
1900-01-01,Portugal,1,1900,7.849
1900-01-01,Qatar,1,1900,16.462
1900-01-01,Romania,1,1900,-1.812
1900-01-01,Saudi Arabia,1,1900,15.323
1900-01-01,Singapore,1,1900,25.764000000000006
1900-01-01,Slovakia,1,1900,-1.444
1900-01-01,South Africa,1,1900,21.867
1900-01-01,South Korea,1,1900,-3.346
1900-01-01,Spain,1,1900,5.932
1900-01-01,Switzerland,1,1900,-0.7199999999999998
1900-01-01,Syria,1,1900,6.624
1900-01-01,Turkey,1,1900,1.523
1900-01-01,Turkmenistan,1,1900,-7.592
1900-01-01,Ukraine,1,1900,-4.905
1900-01-01,United Arab Emirates,1,1900,17.651
1900-01-01,United Kingdom,1,1900,4.296
1900-01-01,Venezuela,1,1900,24.592
1900-01-01,Vietnam,1,1900,18.011
1900-02-01,Argentina,2,1900,20.96
1900-02-01,Austria,2,1900,0.2739999999999999
1900-02-01,Bahrain,2,1900,16.877
1900-02-01,Belarus,2,1900,-4.436999999999999
1900-02-01,Belgium,2,1900,3.017
1900-02-01,Bulgaria,2,1900,4.374
1900-02-01,Czech Republic,2,1900,0.5150000000000001
1900-02-01,France,2,1900,8.461
1900-02-01,Hong Kong,2,1900,13.977
1900-02-01,Hungary,2,1900,3.874
1900-02-01,Iceland,2,1900,-5.194
1900-02-01,India,2,1900,20.05
1900-02-01,Ireland,2,1900,2.8510000000000004
1900-02-01,Italy,2,1900,7.366999999999999
1900-02-01,Japan,2,1900,-0.1030000000000002
1900-02-01,Kuwait,2,1900,14.947
1900-02-01,Latvia,2,1900,-6.311
1900-02-01,Macedonia,2,1900,4.808999999999998
1900-02-01,Philippines,2,1900,24.778
1900-02-01,Poland,2,1900,-1.206
1900-02-01,Portugal,2,1900,10.254
1900-02-01,Qatar,2,1900,18.053
1900-02-01,Romania,2,1900,2.465
1900-02-01,Saudi Arabia,2,1900,17.482
1900-02-01,Singapore,2,1900,26.385
1900-02-01,Slovakia,2,1900,1.1880000000000004
1900-02-01,South Africa,2,1900,22.318
1900-02-01,South Korea,2,1900,-0.11
1900-02-01,Spain,2,1900,8.931000000000001
1900-02-01,Switzerland,2,1900,1.096
